Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.5-23.11.230.201-50539-80-6,192.168.100.5,50539,23.11.230.201,80,6,03/12/2023 03:57:22 PM,22060,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,135.9927470534905,11030.0,15361.187714496558,21892.0,168.0,0,0,0,0,0,22060.0,11030.0,15361.187714496558,21892.0,168.0,0,0,0,0,0,60,0.0,135.9927470534905,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,31909,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-23.11.231.224-50540-80-6,192.168.100.5,50540,23.11.231.224,80,6,03/12/2023 03:57:22 PM,21597,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,138.90818169190163,10798.5,14971.57187806277,21385.0,212.0,0,0,0,0,0,21597.0,10798.5,14971.57187806277,21385.0,212.0,0,0,0,0,0,60,0.0,138.90818169190163,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,31909,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-23.11.230.201-50542-80-6,192.168.100.5,50542,23.11.230.201,80,6,03/12/2023 03:57:23 PM,91961,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.49669968791118,30653.666666666668,37447.17271481698,72438.0,126.0,72438.0,72438.0,0.0,72438.0,72438.0,19397.0,19397.0,0.0,19397.0,19397.0,0,0,0,0,40,56,21.74834984395559,21.74834984395559,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,32768,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-23.11.230.201-50542-80-6,23.11.230.201,80,192.168.100.5,50542,6,03/12/2023 03:57:23 PM,19093,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.7504320955324,19093.0,0.0,19093.0,19093.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,52.3752160477662,52.3752160477662,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32767,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-23.11.230.201-50545-80-6,192.168.100.5,50545,23.11.230.201,80,6,03/12/2023 03:57:24 PM,784197,4,3,422.0,975.0,422.0,0.0,105.50000000000001,211.0,975.0,0.0,325.0,562.9165124598851,1781.4401228262795,8.926328460833183,130699.5,270993.53307468427,682440.0,129.0,766369.0,255456.33333333334,371950.89482394495,682440.0,1825.0,49083.0,24541.5,9676.756300537903,31384.0,17699.0,0,0,0,0,80,76,5.100759120476105,3.8255693403570783,0.0,975.0,174.625,355.51931331906167,126393.98214285713,0,1,0,0,0,0,0,0,0.0,199.57142857142858,105.5,325.0,0,0,0,0,0,0,4,422,3,975,-1,32346,1,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-23.11.231.224-50544-80-6,192.168.100.5,50544,23.11.231.224,80,6,03/12/2023 03:57:24 PM,785408,4,3,422.0,975.0,422.0,0.0,105.50000000000001,211.0,975.0,0.0,325.0,562.9165124598851,1778.6933670143417,8.91256518904824,130901.33333333333,238487.55096873853,610334.0,156.0,766790.0,255596.66666666666,316683.664910796,610334.0,1354.0,63509.0,31754.5,18798.433777844366,45047.0,18462.0,0,0,0,0,80,76,5.092894393741852,3.8196707953063886,0.0,975.0,174.625,355.51931331906167,126393.98214285713,0,1,0,0,0,0,0,0,0.0,199.57142857142858,105.5,325.0,0,0,0,0,0,0,4,422,3,975,-1,32346,1,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-23.11.231.224-50544-80-6,23.11.231.224,80,192.168.100.5,50544,6,03/12/2023 03:57:25 PM,89312,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39340738086707,89312.0,0.0,89312.0,89312.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11.196703690433536,11.196703690433536,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32345,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-23.11.230.201-50545-80-6,23.11.230.201,80,192.168.100.5,50545,6,03/12/2023 03:57:25 PM,89839,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.262046549939335,89839.0,0.0,89839.0,89839.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11.131023274969667,11.131023274969667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32345,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-40.71.99.188-50297-443-6,40.71.99.188,443,192.168.100.5,50297,6,03/12/2023 03:57:26 PM,3154044,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9511598443141567,1577022.0,2230196.40308606,3154009.0,35.0,0,0,0,0,0,3154044.0,1577022.0,2230196.40308606,3154009.0,35.0,0,0,0,0,0,60,0.0,0.9511598443141567,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,63212,0,0,0,0,0,0,0,0,0,0,No Label
192.168.100.5-20.190.157.11-50549-443-6,192.168.100.5,50549,20.190.157.11,443,6,03/12/2023 03:57:29 PM,397887,8,17,1665.0,17126.0,973.0,0.0,208.125,360.61868959569233,1460.0,0.0,1007.4117647058823,671.1966979603976,47226.976503379105,62.83190956226265,16578.625000000004,29778.074008166972,112588.0,0.0,335427.0,47918.142857142855,66414.04211316703,177243.0,579.0,394308.0,24644.25,45051.0550871638,168934.0,0.0,0,0,0,0,160,356,20.10621105992405,42.7256985023386,0.0,1460.0,722.730769230769,696.7647842818872,485481.1646153847,0,1,0,0,0,0,0,0,2.0,751.64,208.125,1007.4117647058823,0,0,0,0,0,0,8,1665,17,17126,-1,32768,3,0,0,0,0,0,0,0,0,0,No Label
